,first_name,middle,last_name,date_of_birth,sex,race_ethnicity,address,zipcode,household_id,unique_id,age,relation_to_household_head
82,Sadie,Katia,Tidwell,2017-10-15,Female,Black," w 4th st  north port, fl",34287,48,1,,
83,Liliana,Addisyn,Marshall,2019-12-03,Female,Black," w 4th st  north port, fl",34287,48,2,,
174,Holly,Emma,Yount,2019-05-17,Female,White,"7944 se 62nd ave  unincorporated, fl",32824,88,3,,
306,Emilee,Guadalupe,Haskew,2019-12-30,Female,Latino,"749 mi ridge ests  destin, fl",32541,150,4,,
323,Gunner,Liam,Parkinson,2020-03-03,Male,White,"600 n maranantha rd  hialeah, fl",33016,157,5,,
347,Lucy,Mayra,Campbell,2015-11-18,Female,Multiracial or Other,"9195 main str  middleburg, fl",32068,166,6,,
401,Julissa,Emma,Parks,2018-06-23,Female,White,"3657 field  yalaha, fl",34715,190,7,,
870,Lea,Isabella,Black,2017-11-18,Female,White,"18034 shawley dr  unincorporated, fl",33406,398,8,,
986,Olivia,Sara,Turner,2016-09-13,Female,Black,"4392 lighthouse ln  east lk, fl",33615,443,9,,
987,Elijah,Carson,Simmons,2019-05-28,Male,Black,"4392 lighthouse ln  east lk, fl",33615,443,10,,
1054,Noah,Oliver,Harris,2019-05-31,Male,Black,"23985 scott dr  casselberry, fl",32707,472,11,,
1207,Landen,Oliver,Lewis,2018-02-03,Male,White," hunters run dr  unincorporated, fl",33413,536,12,,
1319,Emma,Ava,Veliz,2016-09-24,Female,Latino,"1574 east 22 str  alachua, fl",32615,582,13,,
1320,Easton,Jose,Ramos,2019-05-31,Male,Latino,"1574 east 22 str  alachua, fl",32615,582,14,,
1348,Amia,Madison,Cunningham,2016-10-13,Female,Black,"213 lampkin street northeast number c 3 e palatka, fl",32131,594,15,,
1540,Alana,Reagan,Lingle,2016-08-12,Female,White,"380 berry rd  casselberry, fl",32707,678,16,,
1641,Jose,Amir,Dellinger,2018-12-17,Male,White,"7324 16th avenue north east  hallandale beach, fl",33009,720,17,,
1647,Javier,Bodhi,Kwiecien,2017-03-17,Male,White,"9738 n mulberry st  sebastian, fl",32958,723,18,,
1746,Jack,Rhett,Messina,2017-01-11,Male,White,"117 galway dr  nort prt, fl",33981,767,19,,
1747,Amara,Jahzara,Theriot,2018-08-26,Female,White,"117 galway dr  nort prt, fl",33981,767,20,,
1825,Dean,Joaquin,Rodriguez,2018-11-05,Male,Latino,"6455 co.rd 4715  lehigh acres, fl",33971,803,21,,
1849,Khloe,Raelynn,Messer,2017-07-20,Female,White,"2118 primrose lane  hollywood, fl",33019,815,22,,
1850,Nolan,Byron,Blevins,2019-09-13,Male,White,"2118 primrose lane  hollywood, fl",33019,815,23,,
2117,Evelyn,Skyla,Noel,2020-01-24,Female,White,"1908 boulder ridge parkway  plantation, fl",33324,935,24,,
2270,Luke,Gabriel,Ramos,2019-05-15,Male,Latino,"7 blue bird ct  cocoa, fl",32926,1002,25,,
2409,Saylor,Alexis,Kepner,2017-02-05,Female,White,"1825 lincoln st  oviedo, fl",32765,1063,26,,
2473,Juliana,Journie,Mockensturm,2017-09-06,Female,White," frederick avnu  jacksonville, fl",32211,1088,27,,
2626,Adam,Zander,Vanpelt,2017-08-19,Male,Black,"2979 holiday  sarasota, fl",34242,1154,28,,
2706,Malani,Anaya,Bram,2016-12-28,Female,White,"1569 park mdws dr  hialeah, fl",33013,1185,29,,
2707,Noah,Azariah,Freyer,2019-08-03,Male,White,"1569 park mdws dr  hialeah, fl",33013,1185,30,,
2708,Elliott,Vincenzo,Radabaugh,2019-07-03,Male,White,"1569 park mdws dr  hialeah, fl",33013,1185,31,,
3046,Isaac,Liam,Nagle,2019-11-25,Male,White,"186 foster avenue  mims, fl",32754,1341,32,,
3075,Inaaya,Jordan,Ivey,2019-03-13,Female,White,"13 jaspa road  jacksonville, fl",32210,1355,33,,
3221,Kaliah,Lexi,Tranquilino,2019-07-21,Female,Latino,"841 wilkerson st  doral, fl",33122,1418,34,,
3344,Avery,Ella,Brown,2020-01-12,Female,Black,"15647 allmand dr  sarasota, fl",34233,1475,35,,
3383,Skylar,Kinsley,Mcmillen,2017-06-01,Female,White,"406 miami ave  prt lonesome, fl",33810,1495,36,,
3420,Mateo,Hector,Rubio,2018-08-12,Male,Latino,"3069 clf mine rd  deltona, fl",32738,1511,37,,
3581,Kaylani,Journee,Sims,2018-08-05,Female,White,"121 scenic dr wst  fernandina beach, fl",32034,1576,38,,
